Hashsize	Subject	Cross Validation Fold	Model	Training Accuracy	Training F-Score	Test Accuracy	Test F-Score	Time to Evaluate Model
1000	7	5	2	96.3461538462	-1	96.3461538462	-1	40.062253952
1000	7	5	3	96.3461538462	-1	96.3461538462	-1	22.223099947
1000	7	6	1	99.0384615385	0.8275862069	99.0384615385	0.8275862069	16.8500659466
1000	7	6	2	97.1153846154	-1	97.1153846154	-1	40.7128369808
1000	7	6	3	97.1153846154	-1	97.1153846154	-1	22.8432359695
1000	7	7	1	99.0384615385	0.8387096774	99.0384615385	0.8387096774	17.2669301033
1000	7	7	2	97.3076923077	-1	97.3076923077	-1	38.2562839985
1000	7	7	3	97.3076923077	-1	97.3076923077	-1	22.5564250946
1000	7	8	1	99.0384615385	0.8275862069	99.0384615385	0.8275862069	17.3141949177
1000	7	8	2	97.1153846154	-1	97.1153846154	-1	39.2045459747
1000	7	8	3	97.1153846154	-1	97.1153846154	-1	23.290553093
1000	7	9	1	98.6538461538	0.8	98.6538461538	0.8	17.4635241032
1000	7	9	2	96.7307692308	-1	96.7307692308	-1	38.7581179142
1000	7	9	3	96.7307692308	-1	96.7307692308	-1	22.7934179306
1000	7	10	1	99.0384615385	0.8148148148	99.0384615385	0.8148148148	17.6234169006
1000	7	10	2	97.1153846154	-1	97.1153846154	-1	40.0636048317
1000	7	10	3	97.1153846154	-1	97.1153846154	-1	22.0687189102
1000	8	1	1	99.8076923077	-1	99.8076923077	-1	17.1272289753
1000	8	1	2	98.0769230769	-1	98.0769230769	-1	38.9417059422
1000	8	1	3	98.0769230769	-1	98.0769230769	-1	21.5346968174
1000	8	2	1	99.6153846154	0.9285714286	99.6153846154	0.9285714286	18.1520171165
1000	8	2	2	97.3076923077	-1	97.3076923077	-1	39.4335510731
1000	8	2	3	97.3076923077	-1	97.3076923077	-1	22.941106081
1000	8	3	1	100	-1	100	-1	18.3917300701
1000	8	3	2	98.0769230769	-1	98.0769230769	-1	39.2890629768
1000	8	3	3	98.0769230769	-1	98.0769230769	-1	22.4897999763
1000	8	4	1	99.8076923077	-1	99.8076923077	-1	18.0852599144
1000	8	4	2	97.8846153846	-1	97.8846153846	-1	38.6021740437
1000	8	4	3	97.8846153846	-1	97.8846153846	-1	22.2150449753
1000	8	5	1	99.6153846154	0.9090909091	99.6153846154	0.9090909091	17.2085781097
1000	8	5	2	98.4615384615	0.5	98.4615384615	0.5	38.9292161465
1000	8	5	3	97.8846153846	-1	97.8846153846	-1	22.5887551308
1000	8	6	1	100	-1	100	-1	17.9960360527
1000	8	6	2	97.5	-1	97.5	-1	39.9352419376
1000	8	6	3	97.5	-1	97.5	-1	23.0132040977
1000	8	7	1	99.6153846154	0.9230769231	99.6153846154	0.9230769231	17.4899938107
1000	8	7	2	97.5	-1	97.5	-1	39.1896359921
1000	8	7	3	97.5	-1	97.5	-1	22.9473178387
