Avg Accuracy,Avg F1 Score,Avg Log Loss,No. Neurons,Learning Rate,No. Epochs
0.9040630603,0.4045701658,3.3135576439,65,0.09,100000
0.9039822561,0.3925086793,3.3163478116,60,0.07,110000
0.9039822416,0.403027089,3.3163490695,70,0.12,80000
0.9039821688,0.4447172869,3.3163565879,85,0.12,110000
0.9039554475,0.4134077611,3.3172777386,115,0.07,100000
0.9039282605,0.4487110293,3.3182189899,65,0.05,100000
0.9039282313,0.4190924685,3.3182166084,115,0.09,110000
0.9038471287,0.4051797132,3.3210164147,110,0.05,110000
0.9037664191,0.4004555332,3.3238030983,70,0.08,80000
0.9037663099,0.4543728509,3.323814636,100,0.05,110000
0.9037662662,0.4106738683,3.3238106428,75,0.09,80000
0.9037393485,0.407930711,3.324739551,75,0.05,90000
0.9036857459,0.366471261,3.3265877272,105,0.12,110000
0.9036853965,0.4185502805,3.3266042592,100,0.05,90000
0.9036853164,0.4120282882,3.3266061406,60,0.06,100000
0.9036850471,0.3705836186,3.3266113867,70,0.08,110000
0.9036585151,0.482552706,3.3275413598,115,0.08,80000
0.9036044612,0.4104369814,3.329398629,80,0.05,100000
0.9035773833,0.4292219552,3.3303370586,90,0.12,70000
0.9035772086,0.3762933943,3.3303372028,95,0.11,110000
0.9035507058,0.4428797754,3.3312598721,95,0.09,110000
0.903523475,0.4439758302,3.3322000003,60,0.05,90000
0.9034963753,0.4221144918,3.3331340069,65,0.07,100000
0.9034695521,0.4670273755,3.3340649972,90,0.11,90000
0.9034427217,0.4304524872,3.3349882997,105,0.05,110000
0.9034425106,0.4131098064,3.3349933897,85,0.11,90000
0.9034425034,0.4588560327,3.3349980855,65,0.05,90000
0.9034424815,0.396383318,3.3349920008,85,0.09,90000
0.9034156875,0.4285724425,3.3359211661,80,0.11,60000
0.9034155638,0.423465391,3.3359242746,105,0.07,100000
0.9034155492,0.3966943368,3.335921973,75,0.07,110000
0.9034155346,0.4390695803,3.3359278038,110,0.11,80000
0.9034153891,0.4266548615,3.3359311925,70,0.07,110000
0.9033886169,0.4107258662,3.3368544049,110,0.11,110000
0.9033884495,0.4280294279,3.3368625378,90,0.08,100000
0.9033617574,0.4218026632,3.3377835443,100,0.09,90000
0.9033074633,0.4769220669,3.3396675993,70,0.11,100000
0.9032810259,0.3879396256,3.3405678549,80,0.1,110000
0.9032808949,0.4221598106,3.3405769955,60,0.1,90000
0.9032807857,0.3848593366,3.3405759139,105,0.05,100000
0.9032806765,0.4332441693,3.3405847322,110,0.06,80000
0.9032806692,0.3947139027,3.3405819425,80,0.11,110000
0.9032539844,0.3885320906,3.3415028271,85,0.08,110000
0.903253766,0.4059122635,3.3415114044,95,0.05,100000
0.9032537369,0.4208348759,3.3415134244,95,0.08,110000
0.9032267391,0.4161765062,3.3424466084,65,0.08,110000
0.9031997777,0.394431066,3.3433750187,70,0.1,90000
0.9031997704,0.4269281624,3.3433791095,60,0.05,70000
0.9031997558,0.4119576121,3.3433766357,70,0.07,70000
0.903199734,0.4083832373,3.343377563,85,0.07,80000
0.9031997049,0.4092798696,3.3433782665,70,0.06,90000
0.9031729691,0.4255476366,3.3443037149,95,0.06,110000
0.9031726124,0.4689443719,3.3443238429,70,0.1,110000
0.9031456728,0.5130688172,3.3452593099,75,0.06,110000
0.9031190244,0.4011230269,3.3461654324,115,0.12,100000
0.9030921867,0.4743920297,3.347101434,65,0.12,80000
0.9030919974,0.4135975587,3.3471006146,60,0.09,110000
0.903091881,0.4661477776,3.3471109349,100,0.11,100000
0.9030647521,0.4025917488,3.3480393041,85,0.12,90000
0.9030378853,0.4348618066,3.3489712199,75,0.05,100000
0.9030107929,0.4277930242,3.3499068098,70,0.09,110000
0.9029841517,0.4172898206,3.3508251719,115,0.07,110000
0.9029841153,0.402654793,3.3508250484,70,0.07,80000
0.9029838897,0.4203745133,3.3508347627,75,0.09,110000
0.9029838751,0.3777893395,3.350829958,105,0.05,90000
0.9029838533,0.3941924455,3.3508328912,75,0.1,80000
0.9029570738,0.4397687205,3.3517626306,90,0.07,90000
0.9029570374,0.3816196952,3.351757611,115,0.05,60000
0.9029569865,0.4019172082,3.3517616143,75,0.06,80000
0.9029568918,0.4299944068,3.3517673853,115,0.06,110000
