Avg Accuracy,Avg F1 Score,Avg Log Loss,No. Neurons,Learning Rate,No. Epochs
0.9119828939,0.7519093257,3.0400185203,110,0.06,100000
0.9119828939,0.7534949943,3.0400197806,75,0.12,100000
0.911982888,0.7497346934,3.0400175018,90,0.09,110000
0.9119828822,0.749973287,3.0400182674,85,0.05,90000
0.9119827764,0.7572106402,3.0400258574,95,0.1,110000
0.9119827176,0.7561954653,3.0400276748,90,0.07,110000
0.9119585868,0.7529297703,3.0408591045,65,0.07,70000
0.9119585633,0.7533381604,3.0408602073,105,0.09,110000
0.9119344561,0.7574702657,3.0416947021,70,0.05,100000
0.9119343738,0.7545637621,3.04169706,65,0.09,100000
0.9119343033,0.7526613743,3.0416973639,70,0.05,70000
0.9119342739,0.7545481705,3.0416993099,110,0.07,110000
0.9119342504,0.7559925964,3.0417011301,65,0.12,60000
0.9119102196,0.7453233135,3.0425256767,65,0.12,90000
0.9119101902,0.7523925005,3.0425306857,60,0.05,90000
0.9119101608,0.7449809452,3.0425267372,95,0.09,80000
0.9119101431,0.7459079256,3.0425280633,85,0.1,110000
0.9118860594,0.7658183897,3.0433718094,90,0.11,100000
0.911885936,0.7558585935,3.0433705087,60,0.1,100000
0.9118858125,0.750266925,3.0433708947,110,0.05,110000
0.9118857949,0.7569452537,3.0433755368,95,0.07,100000
0.9118857831,0.7498035394,3.043371716,75,0.09,100000
0.911861723,0.7457154176,3.044200302,90,0.07,90000
0.9118616877,0.752451833,3.0442060574,80,0.1,100000
0.9118616759,0.7595004646,3.0442100115,110,0.12,110000
0.91186167,0.7488972063,3.0442039902,60,0.05,80000
0.9118616465,0.7555302126,3.044208661,75,0.06,80000
0.9118615995,0.7517865324,3.0442087533,95,0.11,110000
0.9118615819,0.7468939248,3.0442064347,65,0.08,80000
0.9118374982,0.7648368445,3.0450486293,95,0.12,90000
0.9118373982,0.7489894514,3.045042445,110,0.05,70000
0.9118373924,0.751233027,3.0450440831,65,0.05,100000
0.9118132851,0.7504875295,3.0458767172,85,0.12,110000
0.9118132146,0.7508801453,3.0458787845,85,0.06,70000
0.9118131793,0.7459268588,3.0458773856,60,0.11,100000
0.9118131029,0.7540085527,3.0458845424,70,0.07,80000
0.9117890251,0.7528710162,3.0467156181,100,0.07,80000
0.9117888428,0.7609286616,3.0467271086,70,0.1,100000
0.911740552,0.7495156831,3.0483879771,70,0.12,90000
0.9117405343,0.7514001437,3.048389673,80,0.05,70000
0.9117404991,0.7570392644,3.0483941284,100,0.12,100000
0.9117404344,0.7505618739,3.0483932021,90,0.08,100000
0.911740311,0.7577599452,3.0484014016,95,0.09,90000
0.9117162096,0.7538339156,3.0492311372,105,0.06,70000
0.9117161744,0.7505749038,3.0492305911,65,0.07,90000
0.9117161685,0.7569290787,3.0492348068,80,0.11,90000
0.9117160979,0.7468970982,3.049231156,85,0.07,110000
0.9117160685,0.7503810583,3.0492341489,80,0.12,100000
0.9116919025,0.7417778105,3.0500639078,75,0.08,60000
0.9116678012,0.7555029248,3.0509041324,60,0.08,70000
0.911643594,0.7530411021,3.0517387053,105,0.05,100000
0.9116193105,0.7560168307,3.0525796017,60,0.06,60000
0.9116192693,0.7490084012,3.0525771848,80,0.11,100000
0.9116192576,0.7549088497,3.0525805372,80,0.09,90000
0.9116192576,0.7568151018,3.0525817974,115,0.11,100000
