Avg Accuracy,Avg F1 Score,Avg Log Loss,No. Neurons,Learning Rate,No. Epochs
0.911692026,0.7415013766,3.0500595276,65,0.08,100000
0.9116436058,0.7439346596,3.0517332397,60,0.05,100000
0.9116436058,0.747008969,3.0517350427,65,0.06,100000
0.911643547,0.7451342231,3.0517360843,60,0.11,90000
0.911619381,0.738915903,3.0525675106,80,0.07,100000
0.9116193222,0.7501307702,3.0525758227,80,0.06,100000
0.9116192811,0.7518525664,3.0525784459,70,0.08,100000
0.9115466243,0.7443523051,3.0550838102,75,0.05,90000
0.9115222526,0.7396417473,3.0559230409,70,0.09,90000
0.911522235,0.7434093583,3.0559268489,110,0.09,90000
0.9114496723,0.7468059082,3.0584337539,70,0.11,100000
0.9114253593,0.7380297573,3.0592687627,65,0.05,100000
0.9114010287,0.7426001967,3.0601115744,105,0.06,100000
0.9113768039,0.7477926375,3.060951953,70,0.07,90000
0.9113287071,0.7468473352,3.0626124624,110,0.11,100000
0.911328466,0.7489057563,3.0626217755,70,0.1,80000
0.9113283661,0.7513304611,3.0626269138,65,0.09,110000
0.9113282074,0.7496757476,3.0626306892,115,0.07,90000
0.9113042648,0.7452052301,3.0634553692,60,0.05,90000
0.911279799,0.7382368866,3.0642964528,65,0.05,90000
0.9112797108,0.7481048092,3.0643053728,65,0.11,100000
0.9112556506,0.7465130158,3.0651348315,95,0.06,90000
0.9111828763,0.7463255944,3.0676488902,115,0.06,110000
0.9111344385,0.7710910149,3.0668161469,70,0.11,90000
0.9111344032,0.7347195068,3.0693168292,100,0.08,80000
0.911134315,0.7402273539,3.0693233258,65,0.07,110000
0.9111103136,0.7534409938,3.0701590709,90,0.08,90000
0.9111100785,0.7370585312,3.0701582357,60,0.06,60000
0.9111100256,0.7431352215,3.0701645799,80,0.09,90000
0.9110859948,0.7480877459,3.0709959705,90,0.05,90000
0.9110858948,0.738246797,3.0709945947,85,0.05,90000
0.9110858596,0.755160808,3.0701586353,95,0.11,70000
0.9110858478,0.7369862606,3.0709956179,100,0.06,110000
0.9109889722,0.7505659902,3.0743495722,60,0.1,90000
0.9109647297,0.7388566315,3.0751795082,90,0.05,80000
0.9109646239,0.7347806325,3.0751814759,85,0.07,100000
0.9109404579,0.7532640794,3.0760262222,105,0.07,110000
0.910940405,0.7472053607,3.0760252576,75,0.1,90000
0.9109403697,0.7389442082,3.0760208919,60,0.08,70000
0.9109402581,0.7338700798,3.0760231791,80,0.11,90000
0.9109162037,0.7413729065,3.076857088,85,0.05,80000
0.9109161567,0.747230097,3.0768622796,80,0.05,100000
0.9108918849,0.7380334514,3.077695596,105,0.08,110000
0.9108676307,0.7456786605,3.0785372418,60,0.05,110000
0.9108676131,0.7435546643,3.0785368809,60,0.08,90000
0.9108675955,0.7618672091,3.0777020963,75,0.1,100000
0.910843453,0.7359301722,3.0793673098,95,0.08,80000
0.9108434294,0.770371628,3.0776969279,115,0.11,60000
0.9108433942,0.7438885913,3.0793738577,75,0.06,110000
0.9108190988,0.7411542411,3.0802113987,100,0.09,100000
0.910795168,0.7545217056,3.0810459867,85,0.09,110000
0.9107950328,0.7339357566,3.0810391024,95,0.05,100000
0.9107709902,0.7391887811,3.0818727021,60,0.11,100000
0.9107707374,0.746690058,3.0818848836,105,0.05,100000
0.9107464597,0.7446010734,3.0827218153,80,0.06,90000
0.9107464068,0.7391266266,3.0827211218,70,0.07,110000
0.9107222937,0.7375397727,3.0835527572,110,0.08,60000
0.9107221703,0.7400535374,3.0835585914,110,0.05,110000
0.9107220939,0.7437852013,3.0835634408,65,0.06,90000
0.9106981454,0.7396468348,3.0843885769,85,0.08,80000
0.9106980102,0.7458235585,3.0843973376,85,0.09,90000
0.9106979749,0.7370949616,3.0843924092,110,0.06,90000
0.9106979044,0.735165699,3.0843942254,110,0.05,100000
0.9106736267,0.7436475019,3.0852373805,110,0.07,90000
0.9106497898,0.7629595074,3.0835516714,65,0.08,90000
0.9106493784,0.7501470252,3.0860780091,115,0.07,110000
0.9106493725,0.7371967371,3.0860723372,100,0.08,90000
0.9106252535,0.7410312288,3.0869067738,90,0.08,80000
0.910625183,0.7412411222,3.0869095975,75,0.09,80000
0.9106251595,0.7399262381,3.0869097696,100,0.07,90000
0.9106251124,0.7448300862,3.0869135849,90,0.09,80000
0.9106012932,0.7402832466,3.0877345453,70,0.1,100000
0.9106010993,0.7431714689,3.0877428933,85,0.08,90000
0.9106009347,0.7369829405,3.0877445838,75,0.06,70000
0.9106008876,0.7374017212,3.087746305,70,0.08,90000
0.9105766922,0.7401183155,3.0885837489,70,0.06,110000
0.910552632,0.7431121451,3.089416717,60,0.1,110000
0.9105524616,0.7353328024,3.0894189791,105,0.05,110000
0.9105285483,0.7483232518,3.0902506702,75,0.06,100000
0.9105282368,0.7437511676,3.0902588145,95,0.05,110000
0.9105282191,0.7354134668,3.0902552742,60,0.09,110000
0.910528178,0.7453156703,3.090262027,100,0.06,90000
0.9105281368,0.7476658779,3.0902647088,75,0.08,90000
0.9105039179,0.7453751405,3.0910999979,60,0.06,90000
0.9104797108,0.7404931005,3.0919342614,95,0.06,100000
0.9104555624,0.7683291413,3.0902631914,75,0.1,70000
0.910455486,0.748054997,3.0927743296,70,0.05,70000
0.9104553625,0.7377065171,3.092773087,85,0.06,90000
0.9104312612,0.7435798259,3.093608465,100,0.06,70000
0.9104311789,0.7348030243,3.0936071193,100,0.09,70000
0.9104311613,0.7507873586,3.0936164721,85,0.08,110000
0.9104311378,0.7383983082,3.0936098008,65,0.08,110000
0.9103829586,0.7406908718,3.0952765072,70,0.07,100000
0.9103826353,0.7368848088,3.0952857154,80,0.08,100000
0.910358387,0.730104784,3.0961185106,105,0.08,80000
0.9103100197,0.7313702871,3.0977903757,85,0.07,90000
0.910285695,0.7379911985,3.09863343,75,0.05,70000
0.9102372689,0.7444731571,3.1003102531,95,0.07,90000
0.910213197,0.7348883233,3.1011365314,80,0.06,80000
0.9102130794,0.7390248066,3.1011423176,110,0.07,70000
0.910213003,0.7348293276,3.101142921,75,0.05,80000
0.9101889545,0.7482024692,3.1019810459,70,0.06,100000
0.910188837,0.7354417351,3.1019782445,105,0.1,100000
0.9101887312,0.7395439987,3.1019840316,75,0.09,90000
0.910164477,0.7374046424,3.1028209263,65,0.1,110000
0.9101644652,0.7384067965,3.1028214303,65,0.05,80000
0.9101644358,0.7423891717,3.1028248107,75,0.07,70000
0.9101401993,0.7308797919,3.1036554354,60,0.08,100000
0.9101401405,0.7381929583,3.103662235,60,0.06,110000
0.9101160215,0.736729513,3.1044935693,75,0.09,70000
0.9100918673,0.7494890013,3.1053355627,105,0.09,100000
0.9100917732,0.7362862495,3.1053304554,105,0.08,70000
0.9100917497,0.7446502336,3.1053366566,95,0.09,80000
0.9100675484,0.7394514544,3.1061695737,60,0.09,90000
0.9100433119,0.7323285756,3.1070026412,80,0.09,70000
0.9100432178,0.7489675453,3.1070153901,115,0.09,100000
0.9100432061,0.7434779402,3.1070122872,70,0.05,60000
0.9100190518,0.7333165306,3.107841039,60,0.05,60000
0.9100190401,0.7370667398,3.1078437329,80,0.07,80000
0.9100190048,0.7315834713,3.1078417326,80,0.05,60000
0.9100189578,0.7415007151,3.1078492122,70,0.09,110000
0.9099948035,0.7421264075,3.1086839357,95,0.06,70000
0.9099947389,0.7426797971,3.1086878165,95,0.08,100000
0.9099947095,0.7406297442,3.1086860597,85,0.1,110000
0.9099946742,0.7394998712,3.1086864053,110,0.11,80000
0.9099946448,0.7419507119,3.1086890686,115,0.1,70000
0.9099705846,0.7338440204,3.1095154635,90,0.06,90000
0.9099705258,0.7334909561,3.109517785,80,0.08,70000
0.909946495,0.7393892128,3.1103509789,95,0.1,90000
0.9099220704,0.7341051836,3.1111913578,75,0.06,90000
0.909921941,0.7439384068,3.1112017373,110,0.07,110000
0.9099218117,0.7325698323,3.1112000196,110,0.09,80000
0.9098978926,0.7392897026,3.1120295496,100,0.05,100000
0.9098976633,0.7443303276,3.1120409574,110,0.1,90000
0.9098736796,0.7448593953,3.1128693854,105,0.1,70000
0.9098734033,0.7492557727,3.1128814687,60,0.1,80000
